NGS_WOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,1.07E-289,6.12E-132,5.51E-229,7.90E-139,28.16410349,0.2,7.30E-05,-8644.596294,0,4.44E-16,0,0.754477623,0.819597574,11.37922603,0.00047832,-1.009926383,0.398311806,13.30128612,-3.787661272,-3.173157311,-5.852277158,-6.025766992,-6.256032863
time,3.49E-01,3.44E-01,4.86E-01,3.36E-01,0.346184363,0.354820256,0.35329237,0.339208755,0.334726338,3.44E-01,0.341988044,0.389169078,0.371765723,0.6468607,0.580176592,0.327331915,0.325331149,0.33786499,1.000246997,1.011163225,0.708073058,0.841287756,1.106786056
worst,5.33E-288,3.06E-130,2.75E-227,3.95E-137,28.80065375,2,3.77E-04,-4638.612594,0,4.44E-16,0,1.60E+00,2.97E+00,12.67050581,0.000867109,-0.986490471,0.403859487,85.21957439,-3.603671721,-2.732164798,-4.912827508,-3.354295247,-1.8257152
best,0,2.60E-183,1.201e-320,6.31E-190,27.52946341,0,2.18E-06,-12322.58906,0,4.44E-16,0,0.076744051,0.199125284,2.982105201,0.000316764,-1.031625983,0.397887737,3.000002042,-3.862748816,-3.320810786,-10.05762682,-10.34913426,-10.52305662
std,0,4.28E-131,0,5.53E-138,0.366392849,0.529150262,6.95E-05,2264.70115,0,0,0,0.438944091,0.547926915,3.043424472,0.000142635,0.017212462,0.000910279,24.78275426,0.07119328,0.141528869,1.693336064,2.024037469,2.083113739
