,Sphere,Rastrigin,Ackley,Griewank,Schwefel P2.22,Rosenbrock,Sehwwefel P2.21,Quartic,Schwefel P1.2,Penalized 1,Penalized 2,Schwefel P2.26,Step,Kowalik,Shekel Foxholes,Goldstein-Price,Shekel 5,Branin,Hartmann 3,Shekel 7,Shekel 10,Six-Hump Camel-Back,Hartmann 6,Zakharov,Sum Squares,Alpine,Michalewicz,Exponential,Schaffer,Bent Cigar,Bohachevsky 1,Elliptic,Drop Wave,Cosine Mixture,Ellipsoidal,Levy and Montalvo 1
avg,3.816278753566717e-275,0.0,4.440892098500626e-16,0.0,2.252329965524796e-140,28.130127708691216,3.1362319696973467e-135,8.415589407792053e-05,6.669067815569157e-242,0.707757942527468,0.8488804486568846,-8076.778799091627,0.0,0.0005300641005836464,10.96981716345694,9.494688456152682,-5.532048397496397,0.41056426326365364,-3.82345512028649,-6.552286276832332,-5.406151492495087,-1.0143815972922403,-3.1549852887039833,1.6209903458659372e-206,4.035977431758866e-290,3.0586383610466974e-149,-1.737093243010994,-1.0,0.0024558835426790504,1.975798177524656e-289,0.0,1.4296209571435148e-284,-1.0,-3.0,706.2954424302046,0.5950693312669824
std,0.0,0.0,0.0,0.0,1.5766309157022098e-139,0.3818755430838633,2.1953623365111357e-134,8.298404211913617e-05,0.0,0.43213828453607783,0.5147579907502531,2761.5857365805664,0.0,0.00019215219826976976,3.403371959377181,19.90604253884917,1.4056310679140709,0.025198568852465724,0.04068652889651061,2.1086116701041857,1.1239878123739098,0.017626569434290227,0.14474155773337188,0.0,0.0,1.900375567194972e-148,0.1907134831915006,0.0,6.437653007061671e-08,0.0,0.0,0.0,0.0,0.0,190.66980760338325,0.385170089578209
worst,1.9076698724745556e-273,0.0,4.440892098500626e-16,0.0,1.1261649406467932e-138,28.794057422517298,1.568115955254768e-133,0.0004094668248721366,3.266049649544142e-240,1.5969811553848772,2.9709274328530397,-2903.090881013612,0.0,0.0011695295981366807,12.670505812010852,84.25164641721648,-4.822411169673318,0.5014296912378349,-3.648454220697793,-4.997895783594115,-4.974959376226633,-0.987063291915659,-2.702199680825557,8.104951729329452e-205,2.0173202440890423e-288,1.3557875562973854e-147,-0.9999994021738478,-1.0,0.0024562321994519576,5.36496601701073e-288,0.0,7.148007824273175e-283,-1.0,-3.0,1267.4677038235016,1.5684733862283846
best,0.0,0.0,4.440892098500626e-16,0.0,6.432516955420668e-184,27.172770257880067,4.283207608117957e-180,6.756419322733026e-06,2.7245003e-317,0.13062994964782468,0.10804670739545902,-12277.74247147766,0.0,0.00031156906514502467,1.9925767853225864,3.000166035788154,-10.15204470167904,0.3978874681813611,-3.862752194973508,-10.382488036868429,-9.617206031920192,-1.0316260787520335,-3.314680637024011,9.605911327437144e-301,0.0,3.0375657261761245e-187,-1.801301265340518,-1.0,0.0024558582053127997,0.0,0.0,0.0,-1.0,-3.0,420.47442551368,0.0789358361354642
ideal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12569.486618173014,0.0,0.0003074861,0.9980038377944493,3.0,-10.1532,0.39788735772973816,-3.86278214782076,-10.1532,-10.1532,-1.031628453489877,-3.32236801141551,0.0,0.0,0.0,-1.8013034100985532,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0
time,0.24977438449859618,0.2466186761856079,0.256217303276062,0.255497088432312,0.2500271224975586,0.2558607625961304,0.2500514221191406,0.26409293174743653,0.249175386428833,0.2860322570800781,0.2834654378890991,0.25185178756713866,0.2516146516799927,0.4249714803695679,0.4603325033187866,0.2505946111679077,0.27666252613067627,0.24310900688171386,0.2670699167251587,0.27935194969177246,0.267568302154541,0.24257126331329346,0.2691986656188965,0.26419556617736817,0.2527842426300049,0.2550568962097168,0.2510243606567383,0.24989691734313965,0.24001694679260255,0.2516100072860718,0.23970240116119385,0.25561676025390623,0.2388588523864746,0.251142897605896,0.2481221914291382,0.26846018314361575
